Glottocode,LanguageName,macroarea,family_name,latitude,longitude,total_phonemes,has_click,has_tone_segment,kmeans_cluster,kmeans6_cluster,hier_cluster
gamb1251,Gambera,Australia,Worrorran,-14.29546,126.27131,25,False,False,4,6,2
gami1243,Gamilaraay,Australia,Pama-Nyungan,-29.9037,149.543,21,False,False,2,1,1
gamo1243,Gamo,Africa,Ta-Ne-Omotic,6.27645,37.23808,36,False,False,1,2,10
gana1268,Bidhawal,Australia,Pama-Nyungan,-37.05,148.93,25,False,False,4,6,2
gana1278,Nulit,Australia,Pama-Nyungan,-38.58,146.5,22,False,False,4,6,2
gand1255,Luganda,Africa,Atlantic-Congo,0.66884,32.15153,33,False,True,7,3,3
gang1267,Gangalidda,Australia,Tangkic,-17.5446,139.426,24,False,False,4,6,2
gang1268,Gangulu,Australia,Pama-Nyungan,-22.7637,149.416,22,False,False,4,6,7
gara1269,GARAWA,Australia,Garrwan,-17.4504,137.72014,22,False,False,4,6,7
gari1254,Garig,Australia,Iwaidjan Proper,-11.412,132.182,24,False,False,4,6,2
garo1247,Garo,Eurasia,Sino-Tibetan,25.2954,90.462,26,False,False,8,2,10
gata1239,Gtaʔ,Eurasia,Austroasiatic,18.6076,82.984,40,False,False,10,5,6
gava1241,Gavar,Africa,Afro-Asiatic,10.5603,13.8188,55,False,True,9,4,4
gavi1246,Gavião do Jiparaná,South America,Tupian,-10.7235,-61.6752,29,False,False,10,5,6
gayo1244,Gayo,Papunesia,Austronesian,4.3733,97.3456,26,False,False,8,2,9
gbag1258,GWARI,Africa,Atlantic-Congo,9.29842,6.90495,24,False,False,8,2,4
gbar1246,Gbari,Africa,Atlantic-Congo,8.46411,7.10757,28,False,False,9,4,4
gbay1281,Mbodomo,Africa,Atlantic-Congo,4.800365,14.606865,38,False,True,9,4,4
gbay1287,Gbaya,Africa,Atlantic-Congo,6.61896,17.645,45,False,True,3,4,5
gbay1288,Kresh,Africa,Kresh-Aja,8.43391,25.0,56,False,True,9,4,4
gbes1238,gbesi,Africa,Atlantic-Congo,6.55911,2.0269,47,False,True,3,4,5
genn1243,Gɛn-mina,Africa,Atlantic-Congo,6.25971,1.67727,44,False,True,3,4,5
gheg1238,Gheg Albanian,Eurasia,Indo-European,42.317,21.3837,43,False,False,1,2,8
ghod1238,Godoberi,Eurasia,Nakh-Daghestanian,42.7428,46.2252,66,False,False,1,2,10
ghom1247,Banjun,Africa,Atlantic-Congo,5.39619,10.352,59,False,True,7,3,4
gida1240,Gidabal,Australia,Pama-Nyungan,-28.289642,152.151281,21,False,False,2,1,1
gida1247,Kada,Africa,Afro-Asiatic,9.874715,14.07845,38,False,True,9,4,4
giky1238,Gechode,Africa,Atlantic-Congo,8.39478,0.56975,51,False,False,3,4,5
gily1242,Gilyak,Eurasia,Nivkh,52.59,140.681,44,False,False,1,2,9
giny1241,Genyanga,Africa,Atlantic-Congo,8.2327,0.98348,53,False,False,3,4,5
giry1241,Raβai,Africa,Atlantic-Congo,-3.30638,39.6648,47,False,True,9,4,4
glav1244,Glavda,Africa,Afro-Asiatic,11.1334,13.8652,43,False,True,9,3,4
godi1239,Godié,Africa,Atlantic-Congo,5.3944,-5.82696,42,False,True,9,4,5
goli1247,Golin,Papunesia,Nuclear Trans New Guinea,-6.2249,144.8505,23,False,False,8,2,3
gonj1241,Gonja,Africa,Atlantic-Congo,8.48801,-0.72757,39,False,True,7,3,3
goon1238,Gooniyandi,Australia,Bunaban,-18.4073,126.351,23,False,False,4,6,2
gore1235,Goreng,Australia,Pama-Nyungan,-33.1199,118.151,22,False,False,4,6,2
gour1243,Gulmancema,Africa,Atlantic-Congo,11.6711,1.28489,33,False,True,7,3,3
gras1249,KOIARI,Papunesia,Koiarian,-9.51218,147.437,16,False,False,8,5,9
guah1255,Guahibo,South America,Guahiboan,5.81736,-68.9839,35,False,False,10,5,6
guaj1255,Guajajára,South America,Tupian,-4.69461,-45.7081,22,False,False,6,5,7
guaj1256,Guajá,South America,Tupian,-3.93574,-46.3683,24,False,False,10,5,6
guam1248,Guambiano,South America,Barbacoan,2.55849,-76.582,25,False,False,6,5,7
guan1269,Wanano,South America,Tucanoan,1.07554,-69.5705,28,False,False,10,5,6
guan1270,Kinikinao,South America,Arawakan,-19.1667,-54.0333,23,False,False,10,5,6
guar1292,Guarayu,South America,Tupian,-15.8247,-61.6934,26,False,False,10,5,6
guar1293,Warekena,South America,Arawakan,1.80835,-66.922505,25,False,False,6,5,3
guay1257,Guayabero,South America,Guahiboan,2.8969,-71.844,22,False,False,6,5,9
guda1243,Gudanji,Australia,Mirndi,-17.42,134.73,19,False,False,4,6,2
gude1246,Guɗe,Africa,Afro-Asiatic,10.2138,13.403,36,False,True,9,4,4
gudj1237,Gudjal,Australia,Pama-Nyungan,-19.44157406,144.6482584,18,False,False,2,1,1
guer1243,AMUZGO,North America,Otomanguean,16.77226,-98.18953,29,False,False,6,5,7
guga1239,Kukatj,Australia,Pama-Nyungan,-17.8372,141.168,23,False,False,2,1,1
gugu1253,Gugu Badhun,Australia,Pama-Nyungan,-18.4921,144.46,17,False,False,2,1,1
gugu1254,Koko Bera,Australia,Pama-Nyungan,-15.4296,141.635,21,False,False,2,1,1
gugu1255,Guugu Yimidhirr,Australia,Pama-Nyungan,-14.9424,144.831,23,False,False,4,6,2
guib1244,PO-AI,Eurasia,Tai-Kadai,24.3,106.2,31,False,False,2,1,7
guin1254,"Kpelle, North",Africa,Mande,7.93196,-8.98843,39,False,True,3,4,5
guja1252,Gujarati,Eurasia,Indo-European,22.687,71.0962,60,False,False,5,2,8
guja1253,Gojri,Eurasia,Indo-European,33.7,75.11,57,False,True,5,2,8
guma1252,Kunwinjku,Australia,Gunwinyguan,-12.3398,133.358,27,False,False,4,6,2
guma1253,Gumatj,Australia,Pama-Nyungan,-12.25254,136.83042,31,False,False,4,6,2
gume1239,Gumer,Africa,Afro-Asiatic,8.11879,37.9891,42,False,False,1,2,9
gumu1244,Gumuz,Africa,Gumuz,11.05,35.93,43,False,False,7,3,3
gund1246,Gun-Dedjnjenghmi,Australia,Gunwinyguan,-12.3398,133.358,27,False,False,4,6,2
gund1248,Gundungurra,Australia,Pama-Nyungan,-33.7,150.3,25,False,False,4,6,2
gune1238,Kune,Australia,Gunwinyguan,-12.3398,133.358,28,False,False,4,6,2
gung1248,Gungabula,Australia,Pama-Nyungan,-25.6896,148.604,20,False,False,4,6,2
gunw1252,Gunwinggu,Australia,Gunwinyguan,-12.3398,133.358,24,False,False,5,2,9
guny1241,Gunya,Australia,Pama-Nyungan,-27.0642,145.862,31,False,False,4,6,2
gupa1247,Gupapuyngu,Australia,Pama-Nyungan,-12.2868,135.337,31,False,False,4,6,2
gura1252,Gurr-Goni,Australia,Maningrida,-12.66855,134.09501,27,False,False,4,6,2
gurd1238,Kurtjar,Australia,Pama-Nyungan,-17.1653,141.145,28,False,False,2,1,1
gure1255,Gureng-gureng,Australia,Pama-Nyungan,-25.3893,151.175,23,False,False,2,1,1
guri1247,Gurindji,Australia,Pama-Nyungan,-17.0329,130.379,23,False,False,4,6,2
guro1248,Gouro,Africa,Mande,7.34954,-6.31154,56,False,True,3,3,8
guru1261,Gurung,Eurasia,Sino-Tibetan,27.41687,86.28988,49,False,False,5,2,8
guwa1242,Guwa,Australia,Pama-Nyungan,-21.35147706,142.5243782,23,False,False,4,6,2
guwa1243,Guwamu,Australia,Pama-Nyungan,-27.8289,148.867,21,False,False,4,6,2
guwa1244,Guwar,Australia,Pama-Nyungan,-27.16698973,153.3998245,19,False,False,2,1,1
gwan1268,Gwandara (Nimbia),Africa,Afro-Asiatic,9.20464,7.49931,65,False,True,10,4,5
gwen1239,Kigweno,Africa,Atlantic-Congo,-3.68407,37.6827,29,False,False,8,2,9
hadi1240,Hadiyya,Africa,Afro-Asiatic,7.57377,37.7577,56,False,False,7,3,3
hain1253,Bozo,Africa,Mande,13.8734,-5.65085,34,False,False,7,3,3
haio1238,San,Africa,Khoe-Kwadi,-19.7637,17.0299,27,True,False,8,2,9
haka1240,LAI,Eurasia,Sino-Tibetan,22.8735,92.8208,52,False,False,2,1,7
hakk1236,Hakka Chinese,Eurasia,Sino-Tibetan,25.0,116.0,47,False,True,8,2,10
halb1244,Halbi,Eurasia,Indo-European,20.3081,81.3742,42,False,False,8,2,10
halh1238,Khalkha,Eurasia,Mongolic-Khitan,48.324,106.289,35,False,False,1,2,10
halk1245,Chilliwak Halkomelem,North America,Salishan,49.250402,-122.443668,42,False,True,6,3,7
hame1242,HAMER,Africa,South Omotic,5.06515,36.5176,35,False,False,8,2,9
