given_A,phoneme_B,P(B|A),n_A,n_AB
a,l,0.7033,1921,1351
a,s,0.6757,1921,1298
a,e,0.6668,1921,1281
a,ŋ,0.6523,1921,1253
a,o,0.6491,1921,1247
a,b,0.5945,1921,1142
a,ɡ,0.5268,1921,1012
a,h,0.5388,1921,1035
a,d,0.4716,1921,906
a,r,0.4586,1921,881
a,ɲ,0.4289,1921,824
a,f,0.3982,1921,765
a,t̠ʃ,0.3816,1921,733
a,ɛ,0.3644,1921,700
a,ʔ,0.3649,1921,701
a,ɔ,0.366,1921,703
a,iː,0.3472,1921,667
a,aː,0.3649,1921,701
a,ʃ,0.3165,1921,608
a,uː,0.3207,1921,616
p,m,0.9695,1836,1780
p,i,0.9439,1836,1733
p,k,0.9766,1836,1793
p,j,0.8938,1836,1641
p,u,0.8981,1836,1649
p,a,0.8867,1836,1628
p,w,0.8361,1836,1535
p,n,0.829,1836,1522
p,t,0.7908,1836,1452
p,l,0.7119,1836,1307
p,s,0.6874,1836,1262
p,e,0.6449,1836,1184
p,ŋ,0.6531,1836,1199
p,o,0.6318,1836,1160
p,b,0.6035,1836,1108
p,ɡ,0.5408,1836,993
p,h,0.5398,1836,991
p,d,0.4717,1836,866
p,r,0.4777,1836,877
p,ɲ,0.4292,1836,788
p,f,0.3981,1836,731
p,t̠ʃ,0.4025,1836,739
p,ɛ,0.3687,1836,677
p,ʔ,0.3524,1836,647
p,ɔ,0.3622,1836,665
p,iː,0.3513,1836,645
p,aː,0.3377,1836,620
p,ʃ,0.3197,1836,587
p,uː,0.3241,1836,595
w,m,0.965,1831,1767
w,i,0.9525,1831,1744
w,k,0.9039,1831,1655
w,j,0.9569,1831,1752
w,u,0.9143,1831,1674
w,a,0.9148,1831,1675
w,p,0.8383,1831,1535
w,n,0.8367,1831,1532
w,t,0.7531,1831,1379
w,l,0.7247,1831,1327
w,s,0.6745,1831,1235
w,e,0.6603,1831,1209
